epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,403.997,1.78679,1.86857,1.97423,0.62002,0.54583,0.60714,0.34852,1.44338,1.75038,1.76,0.00089141,0.00089141,0.00089141
40,414.754,1.7763,1.85115,1.95048,0.66823,0.55261,0.56714,0.30157,1.43597,1.95229,1.76417,0.000877263,0.000877263,0.000877263
41,426.422,1.80447,1.88907,1.97925,0.71039,0.57015,0.64758,0.37555,1.31898,1.65083,1.68161,0.000863116,0.000863116,0.000863116
42,435.515,1.74069,1.79606,1.92984,0.62488,0.62093,0.62003,0.33632,1.41022,1.83013,1.75316,0.000848969,0.000848969,0.000848969
43,445.903,1.77691,1.89314,1.95602,0.65788,0.59583,0.63197,0.355,1.46674,1.76882,1.73698,0.000834822,0.000834822,0.000834822
44,458.222,1.73691,1.83496,1.91983,0.70521,0.6004,0.65569,0.38649,1.34647,1.686,1.68606,0.000820675,0.000820675,0.000820675
45,467.347,1.69014,1.83364,1.92753,0.6791,0.59633,0.63095,0.34125,1.35374,1.82638,1.67381,0.000806528,0.000806528,0.000806528
46,477.478,1.66043,1.8234,1.86831,0.61987,0.61491,0.66082,0.37325,1.34251,1.64641,1.69225,0.00079238,0.00079238,0.00079238
47,486.41,1.71175,1.75445,1.89185,0.68934,0.59167,0.63947,0.40847,1.32101,1.66209,1.65954,0.000778233,0.000778233,0.000778233
48,496.492,1.67428,1.74491,1.86681,0.76936,0.60833,0.68867,0.4209,1.30932,1.60448,1.63081,0.000764086,0.000764086,0.000764086
49,506.178,1.61699,1.7246,1.82259,0.73815,0.59664,0.6879,0.40954,1.27052,1.57855,1.61723,0.000749939,0.000749939,0.000749939
50,516.191,1.6012,1.68572,1.8115,0.73409,0.60833,0.68704,0.40363,1.32833,1.56572,1.66772,0.000735792,0.000735792,0.000735792
51,526.128,1.68802,1.7407,1.86703,0.75902,0.63246,0.71219,0.40245,1.39515,1.58913,1.66777,0.000721645,0.000721645,0.000721645
52,536.863,1.58357,1.65747,1.79391,0.67966,0.62322,0.70344,0.4108,1.29027,1.54668,1.62313,0.000707498,0.000707498,0.000707498
53,545.633,1.63024,1.67116,1.82958,0.72466,0.62015,0.7025,0.4273,1.27654,1.58084,1.60865,0.000693351,0.000693351,0.000693351
54,555.246,1.57716,1.64587,1.78606,0.70267,0.62843,0.72116,0.45303,1.25499,1.44239,1.58957,0.000679204,0.000679204,0.000679204
55,565.553,1.56851,1.6569,1.79042,0.73978,0.67957,0.7266,0.46944,1.24517,1.4313,1.55423,0.000665057,0.000665057,0.000665057
56,575.084,1.53169,1.61869,1.75221,0.72385,0.67058,0.72543,0.44953,1.24722,1.5222,1.58162,0.000650909,0.000650909,0.000650909
57,584.927,1.54082,1.57654,1.76117,0.74545,0.67998,0.74906,0.45347,1.27387,1.46003,1.62343,0.000636762,0.000636762,0.000636762
58,594.827,1.50557,1.59498,1.74456,0.80605,0.66402,0.76622,0.49741,1.20684,1.37268,1.55455,0.000622615,0.000622615,0.000622615
59,604.02,1.55266,1.60094,1.75014,0.8111,0.6398,0.75441,0.47409,1.24196,1.40169,1.59786,0.000608468,0.000608468,0.000608468
60,613.482,1.52823,1.60508,1.7612,0.78225,0.70303,0.78193,0.49464,1.186,1.32292,1.53715,0.000594321,0.000594321,0.000594321
61,625.448,1.53042,1.56989,1.7441,0.77211,0.68016,0.76078,0.48773,1.19639,1.37417,1.54428,0.000580174,0.000580174,0.000580174
62,634.699,1.47257,1.55608,1.72077,0.82228,0.67147,0.77643,0.49451,1.23387,1.31394,1.56125,0.000566027,0.000566027,0.000566027
63,643.905,1.48869,1.55974,1.69695,0.73915,0.70041,0.77298,0.49268,1.20524,1.36243,1.54131,0.00055188,0.00055188,0.00055188
64,655.256,1.48205,1.53845,1.69507,0.86076,0.6234,0.75765,0.49741,1.18712,1.35933,1.49046,0.000537733,0.000537733,0.000537733
65,666.276,1.46935,1.52848,1.66746,0.81431,0.67787,0.75291,0.48309,1.21282,1.35138,1.52275,0.000523586,0.000523586,0.000523586
66,675.072,1.49811,1.55039,1.70149,0.76324,0.70027,0.77047,0.494,1.2125,1.31507,1.55416,0.000509438,0.000509438,0.000509438
67,684.5,1.41728,1.4705,1.65534,0.76828,0.69206,0.76248,0.47743,1.24953,1.36446,1.57,0.000495291,0.000495291,0.000495291
68,694.049,1.45885,1.50916,1.66576,0.78893,0.70927,0.7865,0.49885,1.22774,1.35116,1.54913,0.000481144,0.000481144,0.000481144
69,704.79,1.44509,1.49689,1.65543,0.82383,0.68232,0.78914,0.50645,1.2292,1.2911,1.54115,0.000466997,0.000466997,0.000466997
70,715.208,1.38571,1.44624,1.64382,0.74869,0.71972,0.7954,0.5215,1.22947,1.2544,1.54006,0.00045285,0.00045285,0.00045285
71,725.485,1.43045,1.44525,1.66134,0.78501,0.71716,0.76698,0.50623,1.2222,1.31659,1.56735,0.000438703,0.000438703,0.000438703
72,736.915,1.42053,1.45389,1.64432,0.79703,0.7303,0.79861,0.53964,1.17355,1.24738,1.49129,0.000424556,0.000424556,0.000424556
73,746.243,1.37885,1.39715,1.60445,0.83222,0.69493,0.78587,0.51332,1.23034,1.28582,1.53864,0.000410409,0.000410409,0.000410409
74,755.707,1.4268,1.41838,1.619,0.76494,0.75906,0.78649,0.49904,1.25138,1.33792,1.56493,0.000396262,0.000396262,0.000396262
75,765.828,1.44886,1.48918,1.6551,0.7857,0.71508,0.79463,0.50788,1.2535,1.22517,1.52763,0.000382115,0.000382115,0.000382115
76,774.823,1.42695,1.44267,1.63213,0.82764,0.67279,0.78105,0.49907,1.1824,1.2727,1.50461,0.000367967,0.000367967,0.000367967
77,785.693,1.40522,1.44277,1.64249,0.8354,0.69684,0.7994,0.51724,1.22795,1.19643,1.49865,0.00035382,0.00035382,0.00035382
78,795.916,1.38598,1.39634,1.64721,0.84493,0.69884,0.79883,0.51831,1.18893,1.23777,1.51422,0.000339673,0.000339673,0.000339673
79,805.445,1.40337,1.43128,1.62964,0.8925,0.70279,0.82457,0.55476,1.16454,1.20025,1.47814,0.000325526,0.000325526,0.000325526
80,815.427,1.34398,1.37844,1.59914,0.85666,0.70195,0.81192,0.55342,1.1466,1.15461,1.46709,0.000311379,0.000311379,0.000311379
81,824.54,1.36636,1.37743,1.59249,0.82456,0.70728,0.79592,0.53446,1.15223,1.18915,1.47887,0.000297232,0.000297232,0.000297232
82,834.267,1.32175,1.36538,1.57044,0.81707,0.72918,0.80226,0.54117,1.1555,1.18539,1.48277,0.000283085,0.000283085,0.000283085
83,843.64,1.31302,1.32265,1.56116,0.86329,0.67214,0.79863,0.51257,1.22615,1.23704,1.57463,0.000268938,0.000268938,0.000268938
84,853.038,1.33694,1.34715,1.5734,0.86029,0.71009,0.81314,0.52938,1.20258,1.17895,1.51162,0.000254791,0.000254791,0.000254791
85,862.508,1.32572,1.3443,1.57521,0.86136,0.6875,0.80936,0.51275,1.2325,1.21908,1.58464,0.000240644,0.000240644,0.000240644
86,872.527,1.34016,1.35785,1.57028,0.81596,0.73879,0.81933,0.54544,1.15619,1.17982,1.48601,0.000226497,0.000226497,0.000226497
87,882.684,1.29876,1.30453,1.54676,0.82808,0.7375,0.81906,0.54688,1.14383,1.14657,1.46265,0.000212349,0.000212349,0.000212349
88,892.764,1.32854,1.32407,1.56122,0.80431,0.76014,0.82903,0.55428,1.15708,1.12197,1.48447,0.000198202,0.000198202,0.000198202
89,901.138,1.32667,1.3272,1.5554,0.81708,0.75119,0.82826,0.55877,1.136,1.14082,1.45501,0.000184055,0.000184055,0.000184055
90,910.614,1.3489,1.3266,1.55632,0.83486,0.72024,0.82036,0.53332,1.16668,1.18014,1.50423,0.000169908,0.000169908,0.000169908
91,960.002,1.18689,1.29573,1.4841,0.86685,0.71562,0.82125,0.539,1.18364,1.18879,1.47922,0.000155761,0.000155761,0.000155761
92,970.705,1.1661,1.24498,1.46701,0.86158,0.70966,0.82069,0.54969,1.14891,1.14843,1.44799,0.000141614,0.000141614,0.000141614
93,981.384,1.15637,1.17778,1.45546,0.86115,0.69168,0.81485,0.55995,1.09639,1.12882,1.41089,0.000127467,0.000127467,0.000127467
94,992.823,1.11306,1.13933,1.41509,0.77649,0.78333,0.82014,0.55755,1.13779,1.13691,1.42809,0.00011332,0.00011332,0.00011332
95,1001.96,1.12573,1.12875,1.4285,0.82189,0.7514,0.82259,0.54169,1.18074,1.11876,1.48826,9.91726e-05,9.91726e-05,9.91726e-05
96,1010.08,1.13961,1.13498,1.46549,0.88929,0.70335,0.82706,0.55988,1.13321,1.09203,1.41916,8.50255e-05,8.50255e-05,8.50255e-05
97,1018.6,1.14664,1.21174,1.44385,0.86995,0.71727,0.82672,0.5537,1.12308,1.08931,1.4174,7.08784e-05,7.08784e-05,7.08784e-05
98,1027.24,1.15383,1.16998,1.45498,0.85973,0.72956,0.82314,0.55668,1.10476,1.09888,1.41802,5.67313e-05,5.67313e-05,5.67313e-05
99,1037.1,1.13384,1.15617,1.43709,0.83068,0.74496,0.82363,0.54848,1.12537,1.11083,1.43592,4.25842e-05,4.25842e-05,4.25842e-05
100,1046.24,1.10744,1.12981,1.43156,0.81662,0.75193,0.82381,0.5562,1.11121,1.10438,1.42139,2.84371e-05,2.84371e-05,2.84371e-05
